Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Age,Sex,Job_Status,Borough_MX,Has_Anxiety,Recent_Illness_Doctor_Visit,In_Relationship
242,8.0,1.2,8.5,5.2,1.1,2.72,Moderate,24,Female,Not working,Iztapalapa,Yes,Yes,Yes
243,8.9,0.2,7.4,0.6,6.9,3.33,High,21,Male,Part-time,Milpa Alta,Yes,No,No
244,8.1,2.8,7.8,0.1,5.2,2.98,High,24,Female,Full-time,Iztapalapa,No,Yes,No
245,6.6,2.1,5.4,2.1,7.8,2.79,High,21,Male,Full-time,Alvaro Obregon,Yes,Yes,No
246,7.8,2.8,9.0,0.9,3.5,3.11,Moderate,23,Female,Not working,Magdalena Contreras,No,Yes,Yes
247,5.8,0.4,8.2,4.2,5.4,2.88,Low,22,Female,Part-time,Alvaro Obregon,Yes,No,Yes
248,8.5,3.5,8.6,2.7,0.7,3.15,High,23,Female,Full-time,Gustavo A. Madero,Yes,Yes,No
249,6.7,3.3,5.4,5.4,3.2,3.27,High,25,Female,Part-time,Tlahuac,Yes,No,No
250,7.3,2.6,7.6,4.4,2.1,3.13,Moderate,24,Female,Full-time,Alvaro Obregon,Yes,Yes,No
251,5.4,0.2,6.2,1.0,11.2,2.75,Low,21,Male,Part-time,Iztapalapa,No,No,Yes
252,9.9,1.3,5.9,4.7,2.2,3.57,High,20,Male,Part-time,Alvaro Obregon,Yes,Yes,No
253,8.3,2.0,7.8,4.2,1.7,3.25,High,24,Male,Not working,Cuauhtemoc,Yes,No,No
254,6.0,2.7,5.4,0.2,9.7,2.92,High,24,Male,Not working,Benito Juarez,Yes,No,Yes
255,6.3,1.9,9.3,4.4,2.1,2.85,Moderate,23,Female,Part-time,Benito Juarez,No,Yes,Yes
256,6.7,1.5,9.9,0.2,5.7,3.32,Moderate,22,Male,Part-time,Iztapalapa,No,Yes,Yes
257,9.3,2.3,7.2,3.8,1.4,3.61,High,25,Male,Not working,Gustavo A. Madero,Yes,Yes,No
258,9.5,1.7,6.4,3.6,2.8,3.42,High,20,Female,Part-time,Cuauhtemoc,Yes,Yes,No
259,9.6,0.8,8.1,3.5,2.0,3.31,High,21,Female,Not working,Iztapalapa,Yes,No,No
260,8.6,3.6,5.9,1.4,4.5,3.37,High,20,Female,Not working,Miguel Hidalgo,Yes,Yes,No
261,9.9,0.7,9.3,2.0,2.1,3.59,High,23,Female,Part-time,Coyoacan,Yes,Yes,No
262,7.2,2.1,6.8,3.6,4.3,3.01,Moderate,22,Male,Part-time,Iztacalco,Yes,Yes,Yes
263,5.8,1.6,9.8,1.5,5.3,2.61,Low,25,Female,Full-time,Iztapalapa,No,Yes,No
264,8.9,0.5,9.8,2.2,2.6,3.57,High,23,Female,Not working,Milpa Alta,Yes,Yes,No
265,6.2,0.3,5.8,3.1,8.6,3.13,High,22,Male,Not working,Gustavo A. Madero,Yes,Yes,Yes
266,7.2,1.0,8.1,4.2,3.5,2.98,Moderate,23,Female,Part-time,Alvaro Obregon,Yes,No,Yes
267,5.8,0.7,5.2,4.4,7.9,2.81,High,21,Female,Not working,Iztapalapa,Yes,No,Yes
268,9.2,3.2,7.9,3.2,0.5,3.8,High,21,Male,Part-time,Venustiano Carranza,Yes,Yes,No
269,6.0,0.4,6.3,0.3,11.0,3.05,Moderate,23,Female,Not working,Tlahuac,No,No,No
270,5.2,0.5,7.3,5.6,5.4,2.79,Low,22,Male,Not working,Miguel Hidalgo,No,Yes,No
271,6.6,2.0,5.2,0.9,9.3,3.17,High,24,Male,Full-time,Venustiano Carranza,Yes,No,Yes
272,7.3,2.1,7.4,4.0,3.2,3.16,Moderate,23,Female,Full-time,Cuauhtemoc,No,No,Yes
273,5.7,0.1,6.5,4.2,7.5,2.98,Low,23,Male,Not working,Coyoacan,Yes,No,Yes
274,9.8,0.4,8.4,2.4,3.0,3.26,High,23,Male,Not working,Azcapotzalco,No,No,Yes
275,9.3,0.7,8.5,4.6,0.9,3.43,High,22,Female,Not working,Cuauhtemoc,Yes,No,Yes
276,7.5,2.5,9.3,2.7,2.0,3.2,Moderate,23,Male,Full-time,Tlalpan,No,No,Yes
277,5.2,3.7,8.4,4.1,2.6,2.91,Low,22,Female,Part-time,Iztacalco,Yes,No,No
278,7.0,2.6,5.5,3.9,5.0,2.82,High,20,Female,Part-time,Benito Juarez,Yes,No,Yes
279,10.0,0.2,9.9,1.6,2.3,3.56,High,23,Female,Not working,Venustiano Carranza,No,No,Yes
280,7.8,3.0,9.4,1.5,2.3,3.25,Moderate,22,Male,Part-time,Venustiano Carranza,No,No,No
281,6.6,2.7,9.0,4.3,1.4,2.93,Moderate,20,Male,Part-time,Gustavo A. Madero,No,Yes,Yes
282,9.1,0.5,7.7,0.0,6.7,3.64,High,24,Female,Not working,Xochimilco,Yes,No,No
283,6.6,1.5,7.0,4.2,4.7,2.79,Moderate,22,Female,Full-time,Xochimilco,No,No,Yes
284,6.2,1.5,6.1,0.4,9.8,2.5,Moderate,20,Female,Part-time,Coyoacan,Yes,Yes,Yes
285,8.0,2.7,8.1,2.4,2.8,3.4,Moderate,22,Male,Part-time,Venustiano Carranza,No,No,No
286,7.6,1.9,5.1,2.0,7.4,3.08,High,21,Female,Not working,Milpa Alta,Yes,Yes,No
287,6.9,1.6,7.9,3.2,4.4,3.31,Moderate,20,Male,Part-time,Iztacalco,Yes,No,Yes
288,9.1,2.9,9.8,0.0,2.2,3.48,High,23,Male,Not working,Tlalpan,Yes,Yes,No
289,6.0,0.0,8.2,5.4,4.4,2.92,Moderate,21,Female,Not working,Cuauhtemoc,No,No,Yes
290,5.3,3.7,6.8,0.6,7.6,2.78,Low,24,Male,Not working,Gustavo A. Madero,No,No,No
291,7.4,1.0,6.4,1.8,7.4,3.15,Moderate,21,Male,Full-time,Xochimilco,Yes,Yes,No
292,6.6,2.4,8.6,1.6,4.8,3.27,Moderate,24,Male,Part-time,Cuauhtemoc,No,No,Yes
293,7.1,0.5,5.9,4.1,6.4,3.09,High,23,Female,Not working,Gustavo A. Madero,No,Yes,No
294,8.5,0.4,7.8,1.5,5.8,3.01,High,23,Male,Not working,Xochimilco,No,No,Yes
295,9.8,1.9,9.0,1.8,1.5,3.5,High,21,Female,Part-time,Magdalena Contreras,Yes,Yes,No
296,9.8,2.4,9.1,2.4,0.3,3.38,High,24,Male,Not working,Coyoacan,Yes,No,Yes
297,6.1,0.8,8.1,2.5,6.5,2.67,Moderate,23,Male,Full-time,Tlalpan,Yes,Yes,Yes
298,8.9,1.1,9.1,2.1,2.8,3.2,High,22,Female,Part-time,Xochimilco,Yes,Yes,No
299,8.3,0.4,8.1,2.7,4.5,3.01,High,23,Male,Full-time,Venustiano Carranza,Yes,Yes,Yes
300,8.7,3.5,6.1,0.5,5.2,3.37,High,21,Female,Not working,Magdalena Contreras,Yes,No,No
301,5.1,2.6,8.0,3.3,5.0,2.65,Low,21,Male,Not working,Xochimilco,No,No,No
302,8.0,2.0,9.9,0.6,3.5,2.93,Moderate,22,Female,Not working,Alvaro Obregon,Yes,Yes,Yes
303,8.5,1.6,7.1,4.3,2.5,3.39,High,23,Male,Part-time,Magdalena Contreras,No,No,Yes
304,6.4,0.3,5.4,5.4,6.5,3.29,High,23,Female,Full-time,Venustiano Carranza,Yes,No,No
305,6.0,1.3,6.1,2.1,8.5,2.91,Moderate,23,Male,Not working,Xochimilco,No,No,No
306,5.3,3.2,6.2,3.2,6.1,2.64,Low,24,Female,Part-time,Venustiano Carranza,No,No,No
307,9.4,2.6,7.7,1.4,2.9,3.66,High,21,Female,Part-time,Benito Juarez,No,No,Yes
308,10.0,2.6,7.8,2.6,1.0,3.26,High,23,Male,Full-time,Coyoacan,Yes,Yes,Yes
309,7.3,0.2,7.8,5.7,3.0,3.2,Moderate,23,Female,Part-time,Gustavo A. Madero,Yes,No,No
310,6.0,2.1,5.5,2.7,7.7,2.72,High,25,Female,Part-time,Alvaro Obregon,Yes,No,Yes
311,8.8,1.4,8.3,4.4,1.1,3.1,High,23,Female,Full-time,Iztacalco,Yes,No,No
312,10.0,3.7,7.7,2.2,0.4,3.44,High,23,Male,Not working,Tlalpan,Yes,No,No
313,7.6,2.5,5.4,4.5,4.0,3.17,High,25,Female,Full-time,Cuajimalpa de Morelos,Yes,Yes,No
314,8.9,2.8,5.2,1.8,5.3,3.3,High,24,Male,Part-time,Alvaro Obregon,Yes,No,No
315,6.3,1.4,5.4,5.6,5.3,2.58,High,23,Male,Not working,Benito Juarez,Yes,Yes,Yes
316,7.0,1.8,8.0,3.1,4.1,3.15,Moderate,22,Female,Part-time,Miguel Hidalgo,No,No,No
317,9.6,2.0,10.0,2.0,0.4,3.46,High,23,Female,Part-time,Alvaro Obregon,Yes,No,No
318,6.9,3.5,9.3,3.5,0.8,3.02,Moderate,20,Male,Not working,Gustavo A. Madero,Yes,No,No
319,9.0,1.2,5.4,2.4,6.0,3.46,High,21,Female,Not working,Xochimilco,Yes,No,No
320,6.7,3.9,8.2,4.3,0.9,2.83,Moderate,23,Male,Part-time,Tlalpan,No,Yes,Yes
321,5.7,3.4,9.6,2.6,2.7,3.13,Low,20,Female,Not working,Tlalpan,Yes,No,No
322,5.9,2.0,7.0,0.9,8.2,3.0,Low,23,Male,Part-time,Iztapalapa,Yes,No,Yes
323,6.8,0.3,5.1,0.8,11.0,3.03,High,23,Female,Part-time,Cuauhtemoc,No,No,Yes
324,9.8,1.7,6.6,3.0,2.9,3.58,High,23,Female,Full-time,Alvaro Obregon,No,No,Yes
325,7.2,0.4,8.2,1.3,6.9,3.39,Moderate,20,Male,Part-time,Tlalpan,Yes,Yes,Yes
326,5.8,0.2,8.9,2.8,6.3,3.11,Low,20,Female,Part-time,Venustiano Carranza,No,No,No
327,5.3,4.0,5.3,4.2,5.2,2.67,High,24,Male,Not working,Azcapotzalco,Yes,No,Yes
328,8.5,0.2,7.5,6.0,1.8,3.21,High,23,Male,Not working,Benito Juarez,Yes,No,Yes
329,9.1,2.5,6.5,3.7,2.2,2.85,High,23,Male,Part-time,Iztapalapa,Yes,Yes,No
330,5.7,3.5,7.2,1.2,6.4,3.04,Low,25,Female,Full-time,Benito Juarez,No,No,No
331,6.8,1.7,9.1,4.4,2.0,2.9,Moderate,23,Female,Full-time,Miguel Hidalgo,No,No,No
332,5.1,1.0,8.8,0.8,8.3,2.25,Low,20,Male,Part-time,Miguel Hidalgo,No,No,Yes
333,7.7,0.9,5.1,1.4,8.9,3.15,High,22,Male,Full-time,Iztapalapa,Yes,No,No
334,5.5,2.2,7.3,5.1,3.9,2.94,Low,24,Male,Not working,Tlalpan,No,No,Yes
335,5.5,2.0,5.8,1.9,8.8,2.79,High,22,Female,Not working,Tlahuac,Yes,No,Yes
336,6.9,1.6,7.3,4.7,3.5,3.38,Moderate,22,Female,Full-time,Gustavo A. Madero,No,Yes,Yes
337,9.5,3.8,8.9,0.6,1.2,3.3,High,22,Male,Part-time,Venustiano Carranza,Yes,Yes,No
338,6.3,3.4,5.2,5.4,3.7,3.31,High,25,Female,Part-time,Gustavo A. Madero,Yes,Yes,No
339,7.3,2.5,8.3,5.3,0.6,3.36,Moderate,24,Male,Not working,Iztapalapa,Yes,No,Yes
340,5.3,2.1,5.8,4.4,6.4,3.11,High,20,Male,Part-time,Milpa Alta,Yes,Yes,Yes
341,7.6,2.7,5.2,0.5,8.0,3.07,High,25,Female,Not working,Miguel Hidalgo,No,No,No
342,5.4,0.0,9.8,4.4,4.4,2.85,Low,21,Male,Not working,Azcapotzalco,No,No,No
343,6.8,1.2,6.7,4.6,4.7,2.81,Moderate,25,Female,Full-time,Tlalpan,Yes,Yes,Yes
344,5.9,0.4,8.3,4.6,4.8,2.99,Low,21,Male,Not working,Gustavo A. Madero,No,Yes,No
345,6.3,0.1,5.4,5.8,6.4,3.14,High,24,Male,Part-time,Tlahuac,Yes,No,Yes
346,8.1,1.5,6.0,0.7,7.7,3.06,High,22,Female,Part-time,Cuauhtemoc,No,No,No
347,8.1,3.1,8.2,2.4,2.2,3.09,High,22,Male,Part-time,Coyoacan,Yes,No,No
348,9.9,2.4,7.9,2.8,1.0,3.67,High,24,Female,Full-time,Gustavo A. Madero,No,No,Yes
349,9.1,2.6,5.6,2.0,4.7,3.16,High,21,Female,Part-time,Tlalpan,Yes,No,No
350,7.2,2.5,9.7,1.1,3.5,2.69,Moderate,23,Male,Full-time,Tlahuac,No,No,No
351,5.6,0.8,9.4,3.9,4.3,3.01,Low,23,Male,Full-time,Coyoacan,No,No,Yes
352,9.3,3.4,9.6,0.4,1.3,3.28,High,24,Male,Part-time,Miguel Hidalgo,Yes,Yes,Yes
353,8.8,1.8,9.2,3.1,1.1,3.45,High,25,Male,Part-time,Gustavo A. Madero,No,No,Yes
354,5.9,2.2,9.9,5.6,0.4,3.12,Low,25,Female,Full-time,Benito Juarez,Yes,Yes,No
355,5.2,0.7,5.7,4.4,8.0,2.67,High,23,Male,Not working,Iztapalapa,Yes,No,Yes
356,7.5,3.4,8.7,2.4,2.0,3.24,Moderate,23,Male,Part-time,Cuauhtemoc,Yes,No,No
357,8.0,2.0,6.5,3.4,4.1,3.35,Moderate,22,Female,Part-time,Benito Juarez,No,Yes,Yes
358,8.2,3.0,5.8,2.8,4.2,3.31,High,21,Female,Part-time,Alvaro Obregon,Yes,No,Yes
359,5.0,1.0,8.6,6.0,3.4,2.71,Low,21,Male,Part-time,Iztapalapa,No,No,Yes
360,9.0,0.8,7.8,4.4,2.0,3.18,High,22,Male,Part-time,Coyoacan,Yes,Yes,Yes
361,8.1,0.8,6.8,4.7,3.6,3.19,High,23,Male,Not working,Azcapotzalco,No,No,Yes
362,8.8,0.1,8.7,1.2,5.2,3.32,High,23,Male,Full-time,Cuauhtemoc,No,Yes,No
363,9.8,1.5,6.6,0.9,5.2,3.61,High,23,Male,Full-time,Iztacalco,Yes,Yes,Yes
364,10.0,1.5,7.2,3.8,1.5,3.43,High,20,Female,Part-time,Gustavo A. Madero,Yes,No,No
365,9.4,2.4,7.0,2.1,3.1,3.1,High,25,Male,Part-time,Gustavo A. Madero,No,No,Yes
366,9.0,0.4,7.9,2.9,3.8,3.6,High,23,Female,Part-time,Miguel Hidalgo,Yes,No,No
367,8.2,0.3,7.9,3.4,4.2,3.64,High,24,Female,Not working,Iztacalco,Yes,Yes,Yes
368,8.4,3.2,6.3,5.0,1.1,3.5,High,23,Male,Not working,Tlalpan,Yes,No,Yes
369,7.5,0.3,5.3,2.0,8.9,3.26,High,21,Female,Part-time,Alvaro Obregon,Yes,Yes,No
370,8.9,2.1,7.2,0.9,4.9,3.53,High,22,Female,Part-time,Cuauhtemoc,Yes,No,Yes
371,6.6,1.7,5.4,1.3,9.0,3.29,High,20,Female,Part-time,Benito Juarez,No,No,Yes
372,10.0,3.7,8.2,0.9,1.2,3.63,High,23,Female,Part-time,Tlahuac,Yes,Yes,Yes
373,8.2,3.1,5.6,2.5,4.6,3.16,High,22,Male,Not working,Venustiano Carranza,No,No,Yes
374,7.9,2.4,5.9,2.2,5.6,3.4,High,24,Female,Not working,Miguel Hidalgo,Yes,Yes,Yes
375,6.7,0.1,5.1,5.0,7.1,3.03,High,20,Male,Full-time,Iztacalco,Yes,No,Yes
376,6.5,3.8,6.3,2.6,4.8,2.62,Moderate,22,Female,Not working,Iztapalapa,Yes,No,Yes
377,9.4,3.4,5.9,4.3,1.0,3.18,High,22,Male,Not working,Tlalpan,Yes,No,Yes
378,5.7,0.3,8.6,3.0,6.4,2.28,Low,21,Male,Part-time,Magdalena Contreras,No,No,No
379,7.2,2.9,8.8,0.8,4.3,2.88,Moderate,20,Male,Not working,Alvaro Obregon,Yes,Yes,No
380,8.8,2.6,9.8,0.2,2.6,3.38,High,21,Female,Not working,Iztapalapa,Yes,Yes,Yes
381,5.3,1.1,6.3,1.5,9.8,2.75,Low,24,Male,Not working,Iztapalapa,No,No,No
382,6.4,3.0,7.2,4.7,2.7,3.03,Moderate,24,Male,Part-time,Benito Juarez,Yes,No,Yes
383,5.3,2.0,5.2,0.4,11.1,2.31,High,20,Male,Not working,Coyoacan,Yes,Yes,Yes
384,6.7,3.6,5.1,4.0,4.6,3.18,High,22,Male,Part-time,Iztapalapa,Yes,No,No
385,9.8,2.2,9.7,0.1,2.2,3.16,High,23,Female,Full-time,Miguel Hidalgo,Yes,No,No
386,8.7,3.9,6.3,3.3,1.8,3.2,High,23,Female,Part-time,Cuauhtemoc,Yes,Yes,No
387,6.0,2.3,7.3,5.8,2.6,2.58,Moderate,20,Female,Part-time,Gustavo A. Madero,Yes,Yes,Yes
388,5.6,0.6,6.1,1.5,10.2,3.07,Low,22,Male,Not working,Milpa Alta,Yes,Yes,No
389,9.3,2.2,7.6,0.6,4.3,3.48,High,20,Male,Part-time,Milpa Alta,Yes,Yes,No
390,5.3,2.8,7.7,0.5,7.7,2.93,Low,24,Female,Full-time,Gustavo A. Madero,Yes,No,No
391,7.3,1.9,5.8,5.7,3.3,3.18,High,25,Male,Not working,Venustiano Carranza,Yes,No,No
392,7.3,1.6,8.3,3.3,3.5,3.28,Moderate,22,Male,Part-time,Cuauhtemoc,No,No,No
393,5.3,2.1,9.0,2.8,4.8,2.67,Low,20,Female,Part-time,Iztacalco,No,No,Yes
394,5.8,1.3,8.8,3.1,5.0,2.71,Low,24,Male,Not working,Benito Juarez,Yes,No,Yes
395,6.0,3.5,9.4,4.4,0.7,2.84,Moderate,25,Male,Full-time,Milpa Alta,Yes,No,Yes
396,9.9,3.1,5.1,0.4,5.5,3.17,High,25,Female,Full-time,Iztapalapa,Yes,No,No
397,7.3,3.6,7.7,2.7,2.7,3.15,Moderate,23,Male,Full-time,Iztacalco,Yes,Yes,Yes
398,9.1,1.5,8.9,4.3,0.2,3.21,High,23,Male,Not working,Azcapotzalco,Yes,No,Yes
399,6.0,2.1,6.4,4.8,4.7,3.27,Moderate,23,Male,Full-time,Iztapalapa,Yes,No,No
400,9.0,1.6,9.6,2.0,1.8,3.57,High,24,Female,Not working,Tlalpan,Yes,Yes,No
401,5.8,2.8,9.0,1.9,4.5,2.8,Low,24,Male,Full-time,Iztapalapa,No,No,Yes
402,5.9,3.6,8.3,0.9,5.3,2.8,Low,21,Female,Part-time,Iztapalapa,No,No,No
403,7.2,2.5,5.4,5.3,3.6,3.08,High,22,Female,Not working,Benito Juarez,Yes,No,No
404,9.8,1.7,9.9,1.7,0.9,3.75,High,22,Female,Not working,Iztapalapa,Yes,Yes,No
405,8.2,0.7,9.4,2.4,3.3,3.47,High,22,Male,Part-time,Coyoacan,Yes,Yes,No
406,8.6,3.6,5.4,4.4,2.0,3.81,High,23,Male,Full-time,Gustavo A. Madero,Yes,No,No
407,5.9,3.4,9.1,3.0,2.6,2.68,Low,24,Female,Full-time,Benito Juarez,Yes,No,Yes
408,7.4,3.3,7.3,2.1,3.9,3.34,Moderate,21,Male,Not working,Tlahuac,Yes,No,No
409,7.5,3.3,6.7,1.0,5.5,3.29,Moderate,24,Male,Part-time,Benito Juarez,Yes,No,No
410,5.5,1.0,5.7,2.1,9.7,2.93,High,22,Male,Not working,Benito Juarez,Yes,Yes,No
411,7.3,3.0,8.3,3.4,2.0,3.29,Moderate,20,Male,Part-time,Coyoacan,No,No,Yes
412,7.4,3.9,8.2,0.6,3.9,3.02,Moderate,22,Female,Not working,Tlalpan,No,No,No
413,8.4,1.3,8.4,0.4,5.5,3.32,High,22,Female,Part-time,Gustavo A. Madero,No,No,No
414,6.1,3.3,6.4,3.9,4.3,2.86,Moderate,23,Female,Part-time,Iztacalco,Yes,Yes,No
415,8.5,2.1,6.5,1.3,5.6,3.38,High,23,Female,Part-time,Cuauhtemoc,Yes,Yes,No
416,9.4,3.1,8.9,1.7,0.9,3.45,High,22,Male,Part-time,Alvaro Obregon,Yes,No,No
417,6.3,3.6,8.4,3.2,2.5,2.92,Moderate,21,Female,Part-time,Xochimilco,Yes,No,Yes
418,7.3,3.5,7.7,2.1,3.4,2.9,Moderate,24,Male,Full-time,Xochimilco,No,No,Yes
419,9.9,0.4,7.1,0.3,6.3,3.55,High,21,Female,Part-time,Milpa Alta,Yes,No,No
420,6.4,3.4,6.5,5.5,2.2,3.0,Moderate,21,Male,Full-time,Iztapalapa,Yes,No,No
421,8.8,3.2,5.1,5.8,1.1,3.13,High,22,Male,Not working,Venustiano Carranza,Yes,Yes,No
422,9.1,1.1,9.4,0.5,3.9,3.58,High,22,Male,Not working,Cuajimalpa de Morelos,Yes,Yes,No
423,8.5,2.2,5.5,1.5,6.3,3.27,High,22,Female,Part-time,Magdalena Contreras,Yes,Yes,No
424,6.5,2.4,6.5,1.8,6.8,2.91,Moderate,22,Female,Part-time,Iztapalapa,Yes,Yes,Yes
425,8.7,0.2,9.5,4.8,0.8,3.5,High,22,Female,Not working,Coyoacan,Yes,Yes,No
426,9.5,0.7,5.4,1.4,7.0,3.77,High,24,Male,Not working,Miguel Hidalgo,Yes,Yes,No
427,9.0,0.1,7.9,6.0,1.0,3.36,High,24,Female,Part-time,Iztapalapa,Yes,Yes,Yes
428,5.3,3.3,8.0,0.7,6.7,3.03,Low,23,Female,Part-time,Azcapotzalco,No,No,No
429,5.5,3.6,8.3,5.0,1.6,2.86,Low,22,Female,Not working,Alvaro Obregon,No,No,No
430,7.6,1.7,6.6,2.6,5.5,3.34,Moderate,21,Male,Not working,Tlalpan,No,No,Yes
431,8.9,2.4,9.5,1.4,1.8,3.66,High,22,Female,Part-time,Alvaro Obregon,Yes,No,No
432,8.0,2.8,6.2,3.1,3.9,3.46,Moderate,22,Female,Part-time,Coyoacan,Yes,No,No
433,5.5,1.5,7.4,3.9,5.7,2.85,Low,24,Male,Part-time,Gustavo A. Madero,No,Yes,No
434,8.7,2.0,8.2,0.4,4.7,3.42,High,22,Female,Not working,Gustavo A. Madero,No,No,No
435,6.3,1.4,7.4,0.3,8.6,2.86,Moderate,21,Female,Full-time,Cuauhtemoc,Yes,No,No
436,9.9,1.3,7.4,1.1,4.3,3.35,High,21,Female,Not working,Alvaro Obregon,No,No,No
437,8.1,1.1,6.0,3.1,5.7,3.15,High,25,Female,Part-time,Iztapalapa,Yes,No,Yes
438,9.0,2.3,7.6,1.5,3.6,3.2,High,21,Female,Not working,Miguel Hidalgo,Yes,No,Yes
439,9.7,1.6,5.4,3.7,3.6,3.39,High,21,Male,Not working,Iztapalapa,Yes,Yes,No
440,7.5,3.5,7.5,3.9,1.6,2.97,Moderate,22,Male,Not working,Iztapalapa,Yes,No,Yes
441,10.0,0.5,6.4,2.4,4.7,3.14,High,25,Female,Part-time,Milpa Alta,No,No,No
442,9.5,2.9,8.0,1.1,2.5,3.11,High,23,Male,Not working,Cuauhtemoc,No,Yes,Yes
443,9.1,3.8,9.1,0.0,2.0,3.27,High,23,Male,Not working,Miguel Hidalgo,No,No,Yes
444,6.3,0.2,8.0,4.1,5.4,2.97,Moderate,20,Male,Not working,Coyoacan,No,Yes,No
445,5.6,1.5,7.3,2.2,7.4,2.8,Low,20,Female,Part-time,Miguel Hidalgo,No,No,No
446,8.8,0.3,5.4,2.1,7.4,3.12,High,22,Male,Part-time,Milpa Alta,Yes,Yes,No
447,9.7,2.7,8.4,1.2,2.0,3.44,High,22,Female,Not working,Miguel Hidalgo,Yes,Yes,No
448,8.2,3.7,8.1,3.5,0.5,3.23,High,23,Female,Not working,Xochimilco,Yes,No,Yes
449,8.6,0.5,9.5,0.4,5.0,3.06,High,21,Male,Not working,Cuauhtemoc,Yes,Yes,Yes
450,5.1,1.7,6.5,2.9,7.8,2.79,Low,24,Female,Full-time,Tlalpan,No,Yes,No
451,7.9,0.2,5.6,3.4,6.9,3.44,High,25,Female,Full-time,Miguel Hidalgo,Yes,No,No
452,8.3,3.4,8.5,1.6,2.2,3.07,High,20,Male,Not working,Alvaro Obregon,Yes,No,No
453,8.4,1.1,6.5,4.7,3.3,3.54,High,23,Female,Part-time,Azcapotzalco,Yes,Yes,Yes
454,9.1,3.4,9.6,0.8,1.1,3.31,High,22,Male,Not working,Benito Juarez,Yes,Yes,No
455,6.6,2.3,6.9,3.6,4.6,3.2,Moderate,25,Female,Not working,Iztapalapa,Yes,Yes,Yes
456,6.9,0.7,7.2,0.9,8.3,3.26,Moderate,23,Male,Part-time,Venustiano Carranza,Yes,No,Yes
457,9.5,1.4,5.8,0.2,7.1,3.69,High,24,Female,Not working,Xochimilco,Yes,No,Yes
458,6.7,0.3,7.0,1.9,8.1,3.28,Moderate,22,Female,Part-time,Gustavo A. Madero,No,No,No
459,8.4,2.4,6.8,1.3,5.1,3.25,High,23,Male,Part-time,Gustavo A. Madero,Yes,Yes,Yes
460,8.4,0.6,7.4,0.2,7.4,3.32,High,25,Male,Not working,Gustavo A. Madero,Yes,Yes,No
461,7.5,3.9,6.9,0.2,5.5,3.11,Moderate,25,Female,Full-time,Gustavo A. Madero,Yes,No,Yes
462,5.8,0.1,8.8,2.8,6.5,2.8,Low,20,Male,Not working,Alvaro Obregon,No,No,No
463,6.4,3.6,5.6,5.7,2.7,3.1,High,23,Male,Full-time,Iztapalapa,Yes,Yes,Yes
464,8.0,3.3,9.9,0.8,2.0,3.13,Moderate,23,Male,Part-time,Miguel Hidalgo,No,Yes,Yes
465,9.8,1.6,6.9,1.9,3.8,3.23,High,21,Female,Not working,Miguel Hidalgo,Yes,No,Yes
466,7.8,2.2,8.8,4.3,0.9,3.2,Moderate,21,Female,Part-time,Xochimilco,No,No,Yes
467,7.2,1.2,6.3,1.2,8.1,3.05,Moderate,23,Male,Part-time,Venustiano Carranza,No,No,No
468,6.4,3.9,7.8,2.0,3.9,2.87,Moderate,24,Male,Not working,Tlalpan,No,No,Yes
469,7.9,0.6,7.2,3.8,4.5,2.68,Moderate,23,Female,Full-time,Iztapalapa,Yes,No,No
470,10.0,3.5,8.1,1.4,1.0,3.44,High,22,Female,Not working,Gustavo A. Madero,Yes,Yes,No
471,8.1,0.8,7.0,0.2,7.9,3.74,High,21,Female,Not working,Tlalpan,No,Yes,No
472,6.1,3.9,9.5,3.2,1.3,2.61,Moderate,20,Male,Part-time,Milpa Alta,No,No,No
473,7.7,3.5,5.7,4.7,2.4,3.21,High,25,Male,Full-time,Xochimilco,Yes,No,Yes
474,6.4,3.5,9.7,0.7,3.7,2.89,Moderate,22,Female,Part-time,Benito Juarez,Yes,No,No
475,7.3,3.9,7.4,4.7,0.7,2.74,Moderate,21,Male,Not working,Tlalpan,Yes,No,Yes
476,6.4,0.8,8.8,2.3,5.7,3.21,Moderate,23,Male,Part-time,Tlalpan,Yes,No,Yes
477,7.6,2.0,7.9,5.2,1.3,3.13,Moderate,22,Male,Part-time,Xochimilco,No,Yes,Yes
478,9.1,3.1,7.9,3.7,0.2,3.42,High,22,Female,Not working,Miguel Hidalgo,Yes,No,Yes
479,6.0,0.4,9.3,2.6,5.7,3.02,Moderate,23,Female,Full-time,Coyoacan,No,No,No
480,8.1,3.7,5.1,2.9,4.2,2.63,High,22,Female,Not working,Tlalpan,No,No,No
481,8.4,2.9,8.5,0.6,3.6,3.07,High,21,Female,Not working,Alvaro Obregon,No,No,No
482,9.0,1.1,6.1,5.7,2.1,3.07,High,22,Male,Full-time,Iztacalco,No,Yes,No
483,5.0,4.0,8.4,5.0,1.6,2.9,Low,23,Female,Not working,Iztacalco,No,No,No
484,8.7,0.6,8.8,4.5,1.4,3.41,High,21,Female,Not working,Tlalpan,Yes,No,Yes
485,8.3,3.1,9.2,2.1,1.3,3.24,High,21,Female,Not working,Iztapalapa,Yes,No,Yes
486,5.4,1.6,7.0,0.4,9.6,2.63,Low,21,Male,Part-time,Coyoacan,Yes,No,No
